SKU,Organization,Parent SKU,Product Status,SKU Name*
SHDR-4125720-06,Dreamline,SHDR-4125720,Discontinued,DreamLine Elegance 25 1/4 - 27 1/4 in. W x 72 in. H Frameless Pivot Shower Door in Oil Rubbed Bronze
SHDR-4127720-06,Dreamline,SHDR-4127720,Discontinued,DreamLine Elegance 27-29 in. W x 72 in. H Frameless Pivot Shower Door in Oil Rubbed Bronze
SHDR-4128720-06,Dreamline,SHDR-4128720,Discontinued,DreamLine Elegance 28 3/4 - 30 3/4 in. W x 72 in. H Frameless Pivot Shower Door in Oil Rubbed Bronze
SHDR-4130720-06,Dreamline,SHDR-4130720,Discontinued,DreamLine Elegance 30 1/2 - 32 1/2 in. W x 72 in. H Frameless Pivot Shower Door in Oil Rubbed Bronze
SHDR-4132720-06,Dreamline,SHDR-4132720,Discontinued,DreamLine Elegance 32 1/4 - 34 1/4 in. W x 72 in. H Frameless Pivot Shower Door in Oil Rubbed Bronze
SHDR-4134720-06,Dreamline,SHDR-4134720,Discontinued,DreamLine Elegance 34-36 in. W x 72 in. H Frameless Pivot Shower Door in Oil Rubbed Bronze
SHDR-4135720-06,Dreamline,SHDR-4135720,Discontinued,DreamLine Elegance 35 3/4 - 37 3/4 in. W x 72 in. H Frameless Pivot Shower Door in Oil Rubbed Bronze
SHDR-4137720-06,Dreamline,SHDR-4137720,Discontinued,DreamLine Elegance 37 1/4 - 39 1/4 in. W x 72 in. H Frameless Pivot Shower Door in Oil Rubbed Bronze
SHDR-4139720-06,Dreamline,SHDR-4139720,Discontinued,DreamLine Elegance 39-41 in. W x 72 in. H Frameless Pivot Shower Door in Oil Rubbed Bronze
SHDR-4140720-06,Dreamline,SHDR-4140720,Discontinued,DreamLine Elegance 40 3/4 - 42 3/4 in. W x 72 in. H Frameless Pivot Shower Door in Oil Rubbed Bronze
SHDR-4142720-06,Dreamline,SHDR-4142720,Discontinued,DreamLine Elegance 42 1/2 - 44 1/2 in. W x 72 in. H Frameless Pivot Shower Door in Oil Rubbed Bronze
SHDR-4144720-06,Dreamline,SHDR-4144720,Discontinued,DreamLine Elegance 44 1/4 - 46 1/4 in. W x 72 in. H Frameless Pivot Shower Door in Oil Rubbed Bronze
SHDR-4146720-06,Dreamline,SHDR-4146720,Discontinued,DreamLine Elegance 46-48 in. W x 72 in. H Frameless Pivot Shower Door in Oil Rubbed Bronze
SHDR-4147720-06,Dreamline,SHDR-4147720,Discontinued,DreamLine Elegance 47 3/4 - 49 3/4 in. W x 72 in. H Frameless Pivot Shower Door in Oil Rubbed Bronze
SHDR-4149720-06,Dreamline,SHDR-4149720,Discontinued,DreamLine Elegance 49 1/4 - 51 1/4 in. W x 72 in. H Frameless Pivot Shower Door in Oil Rubbed Bronze
SHDR-4151720-06,Dreamline,SHDR-4151720,Discontinued,DreamLine Elegance 51-53 in. W x 72 in. H Frameless Pivot Shower Door in Oil Rubbed Bronze
SHDR-4152720-06,Dreamline,SHDR-4152720,Discontinued,DreamLine Elegance 52 3/4 - 54 3/4 in. W x 72 in. H Frameless Pivot Shower Door in Oil Rubbed Bronze
SHDR-4154720-06,Dreamline,SHDR-4154720,Discontinued,DreamLine Elegance 54 1/2 - 56 1/2 in. W x 72 in. H Frameless Pivot Shower Door in Oil Rubbed Bronze
SHDR-4156720-06,Dreamline,SHDR-4156720,Discontinued,DreamLine Elegance 56 1/4 - 58 1/4 in. W x 72 in. H Frameless Pivot Shower Door in Oil Rubbed Bronze
SHDR-4158720-06,Dreamline,SHDR-4158720,Discontinued,DreamLine Elegance 58-60 in. W x 72 in. H Frameless Pivot Shower Door in Oil Rubbed Bronze
SHDR-4159720-06,Dreamline,SHDR-4159720,Discontinued,DreamLine Elegance 59 3/4 - 61 3/4 in. W x 72 in. H Frameless Pivot Shower Door in Oil Rubbed Bronze
